time,title,url
2017_02_18_11.43.23,The False Promise of Sanctuary Cities,http://www.slate.com/articles/news_and_politics/jurisprudence/2017/02/the_false_promise_of_sanctuary_cities.html
2017_02_18_11.43.23,Why the White House Refuses to Acknowledge the Truth of Its Potential Deportation-Force Plans,http://www.slate.com/articles/news_and_politics/politics/2017/02/trump_s_chaos_has_real_consequences_for_everyone.html
2017_02_18_11.43.23,The GOP Plan to Replace Obamacare Includes a Huge Assault on Abortion Access,http://www.slate.com/blogs/moneybox/2017/02/17/the_republican_plan_to_replace_obamacare_includes_a_giant_assault_on_abortion.html
2017_02_18_11.43.23,Late Night Had No Idea What to Make of That Trump Press Conference,http://www.slate.com/blogs/browbeat/2017/02/17/trevor_noah_stephen_colbert_and_seth_meyers_tried_to_make_sense_of_trump.html
2017_02_18_11.43.23,Good News for Liberals: Democrats Actually Won the 2016 Vote in Rust Belt Towns,http://www.slate.com/blogs/moneybox/2017/02/17/even_in_2016_democrats_carried_rust_belt_town_centers_why.html
2017_02_18_11.43.23,Michael Flynn Was Doomed to Fail,http://www.slate.com/articles/news_and_politics/interrogation/2017/02/james_mann_on_why_michael_flynn_flamed_out_faster_than_expected.html
2017_02_18_11.43.23,That Was My Play!,http://www.slate.com/articles/sports/sports_nut/2017/02/the_salt_lake_screaming_eagles_a_football_team_controlled_by_fans_with_smartphones.html
2017_02_18_11.43.23,Why Michael Flynn Flamed Out Even Faster Than Anticipated: A Conversation With James Mann,http://www.slate.com/articles/news_and_politics/interrogation/2017/02/james_mann_on_why_michael_flynn_flamed_out_faster_than_expected.html
2017_02_18_11.43.23,Is the Future of Sports a Football Team Controlled by Fans with Smartphones?,http://www.slate.com/articles/sports/sports_nut/2017/02/the_salt_lake_screaming_eagles_a_football_team_controlled_by_fans_with_smartphones.html
2017_02_18_11.43.23,Clues That ICE May Be Altering Evidence and Manipulating Facts in Its Immigration Crackdown,http://www.slate.com/articles/news_and_politics/jurisprudence/2017/02/ice_s_crackdown_is_beyond_aggressive_it_s_illegal.html
2017_02_18_11.43.23,Did Trump Not Know That Flynn Lied to the FBI? Or Just Not Care?,http://www.slate.com/articles/news_and_politics/politics/2017/02/was_trump_warned_that_michael_flynn_misled_the_fbi.html
